REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	10702005601	OXYCODONE	2	null	null	12X000030	null	null	1252012	1.793	200	1201046122	OXYCODONE HCI 10MG TABLETS USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	KVK-Tech, Inc.	KVK-Tech, Inc.	McKesson Corporation	10
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	5	null	null	12X000017	null	null	1162012	4.4825	500	1201074690	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	228287811	OXYCODONE	2	null	null	12X000093	null	null	3092012	2.6895	200	1203006079	OXYCODONE HCL 15MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	15
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591085305	HYDROCODONE	1	null	null	null	null	null	5212012	3.027	500	1205009114	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	10
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591320201	HYDROCODONE	1	null	null	null	null	null	7262012	0.3027	100	1207005125	HYDROCODONE BITARTRATE AND ACETA 5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591034905	HYDROCODONE	1	null	null	null	null	null	9292012	1.5135	500	1209005885	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591320201	HYDROCODONE	1	null	null	null	null	null	12032012	0.3027	100	1212000538	HYDROCODONE BITARTRATE AND ACETA 5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	3	null	null	12X000143	null	null	4232012	2.6895	300	1204059517	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	63481062970	OXYCODONE	1	null	null	12X000188	null	null	5312012	0.8965	100	1205076546	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	63481062370	OXYCODONE	1	null	null	12X000215	null	null	6222012	0.44825	100	1206068421	PERCOCET (OXYCODONE HCL/ACETA) 5MG/3	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	5
